givid,id,family
65,B322_0496,DO093
162,B322_0290,CW075
206,B322_0554,CW075
386,B322_0125,BH034
477,B322_0485,BH034
429,B322_0342,ET124
490,B322_0535,ET124
118,B322_0625,HI191
211,B322_0129,DZ104
270,B322_0004,AP016
145,B322_0240,AP016
302,B322_0707,EM117
275,B322_0028,GT176
256,B322_0523,GT176
401,B322_0186,DH086
372,B322_0086,DH086
458,B322_0563,FZ156
371,B322_0083,FZ156
503,B322_0549,FW153
403,B322_0191,FW153
13,B322_0142,CV074
60,B322_0109,CV074
416,B322_0246,EK115
447,B322_0587,EK115
169,B322_0265,CD056
190,B322_0133,CI061
267,B322_0136,CI061
368,B322_0072,DJ088
252,B322_0562,FJ140
82,B322_0646,HR200
271,B322_0151,HR200
49,B322_0677,HR200
154,B322_0249,HL194
260,B322_0148,DD082
133,B322_0262,DD082
392,B322_0149,FA131
419,B322_0259,FA131
355,B322_0708,ER122
234,B322_0143,ER122
326,B322_0161,HC185
298,B322_0008,BS045
320,B322_0070,BS045
323,B322_0075,EY129
291,B322_0087,EY129
4,B322_0027,FU151
246,B322_0121,GR174
343,B322_0013,GR174
418,B322_0251,AA001
446,B322_0557,AA001
261,B322_0287,HN196
518,B322_0624,CK063
163,B322_0293,EX128
366,B322_0068,DG085
530,B322_0656,DG085
493,B322_0596,DG085
90,B322_0413,CS071
101,B322_0667,CS071
500,B322_0492,DM091
445,B322_0542,AR018
457,B322_0543,AR018
243,B322_0528,AQ017
216,B322_0591,AQ017
176,B322_0272,CF058
491,B322_0548,CF058
459,B322_0589,BJ036
315,B322_0170,FN144
290,B322_0057,FN144
109,B322_0693,GY181
197,B322_0541,GY181
35,B322_0420,FO145
439,B322_0722,FO145
87,B322_0476,HP198
452,B322_0382,DU099
516,B322_0584,DU099
207,B322_0511,CQ069
25,B322_0294,DR096
47,B322_0263,DR096
158,B322_0291,FB132
272,B322_0152,FB132
257,B322_0144,FL142
324,B322_0092,FL142
456,B322_0527,AV022
384,B322_0120,AV022
512,B322_0498,GX180
426,B322_0330,GX180
358,B322_0015,GX180
283,B322_0166,EL116
194,B322_0565,EL116
21,B322_0488,EL116
120,B322_0678,CT072
61,B322_0434,CT072
179,B322_0275,AT020
128,B322_0260,AT020
389,B322_0138,GZ182
502,B322_0536,GZ182
245,B322_0517,HA183
263,B322_0575,HA183
237,B322_0001,HA183
318,B322_0030,CE057
286,B322_0038,CE057
105,B322_0634,AZ026
68,B322_0415,AZ026
86,B322_0405,DI087
277,B322_0040,DI087
222,B322_0597,HB184
