givid,id,family
34,B322_0483,DO093
206,B322_0554,CW075
321,B322_0011,CW075
463,B322_0706,BH034
508,B322_0698,BH034
359,B322_0016,ET124
429,B322_0342,ET124
347,B322_0173,HI191
177,B322_0273,DZ104
145,B322_0240,AP016
41,B322_0451,AP016
266,B322_0538,EM117
338,B322_0185,GT176
342,B322_0066,GT176
398,B322_0176,DH086
489,B322_0509,DH086
448,B322_0608,FZ156
449,B322_0627,FZ156
472,B322_0642,FW153
503,B322_0549,FW153
5,B322_0531,CV074
316,B322_0180,CV074
511,B322_0448,EK115
447,B322_0587,EK115
169,B322_0265,CD056
229,B322_0564,CI061
226,B322_0116,CI061
368,B322_0072,DJ088
252,B322_0562,FJ140
48,B322_0475,HR200
174,B322_0270,HR200
1,B322_0370,HR200
119,B322_0692,HL194
276,B322_0035,DD082
264,B322_0558,DD082
440,B322_0381,FA131
379,B322_0111,FA131
183,B322_0288,ER122
355,B322_0708,ER122
31,B322_0458,HC185
244,B322_0505,BS045
320,B322_0070,BS045
323,B322_0075,EY129
170,B322_0266,EY129
292,B322_0168,FU151
18,B322_0456,GR174
343,B322_0013,GR174
478,B322_0532,AA001
494,B322_0619,AA001
269,B322_0198,HN196
518,B322_0624,CK063
132,B322_0256,EX128
465,B322_0437,DG085
433,B322_0377,DG085
391,B322_0146,DG085
157,B322_0226,CS071
335,B322_0095,CS071
507,B322_0652,DM091
454,B322_0471,AR018
524,B322_0519,AR018
223,B322_0139,AQ017
306,B322_0034,AQ017
176,B322_0272,CF058
487,B322_0443,CF058
501,B322_0513,BJ036
240,B322_0583,FN144
218,B322_0574,FN144
197,B322_0541,GY181
138,B322_0261,GY181
346,B322_0163,FO145
314,B322_0157,FO145
325,B322_0720,HP198
367,B322_0069,DU099
474,B322_0710,DU099
251,B322_0585,CQ069
47,B322_0263,DR096
71,B322_0490,DR096
100,B322_0654,FB132
225,B322_0200,FB132
279,B322_0017,FL142
44,B322_0473,FL142
378,B322_0110,AV022
488,B322_0486,AV022
512,B322_0498,GX180
506,B322_0621,GX180
426,B322_0330,GX180
111,B322_0666,EL116
337,B322_0172,EL116
74,B322_0447,EL116
126,B322_0211,CT072
250,B322_0286,CT072
179,B322_0275,AT020
93,B322_0635,AT020
374,B322_0093,GZ182
499,B322_0444,GZ182
263,B322_0575,HA183
46,B322_0429,HA183
341,B322_0051,HA183
322,B322_0021,CE057
318,B322_0030,CE057
68,B322_0415,AZ026
296,B322_0100,AZ026
231,B322_0518,DI087
86,B322_0405,DI087
78,B322_0482,HB184
