givid,id,family
233,B322_0552,DO093
45,B322_0495,CW075
181,B322_0277,CW075
467,B322_0529,BH034
434,B322_0380,BH034
529,B322_0626,ET124
429,B322_0342,ET124
43,B322_0480,HI191
6,B322_0401,DZ104
30,B322_0402,AP016
41,B322_0451,AP016
266,B322_0538,EM117
256,B322_0523,GT176
187,B322_0545,GT176
398,B322_0176,DH086
372,B322_0086,DH086
406,B322_0203,FZ156
371,B322_0083,FZ156
461,B322_0640,FW153
470,B322_0594,FW153
70,B322_0463,CV074
5,B322_0531,CV074
466,B322_0506,EK115
416,B322_0246,EK115
299,B322_0019,CD056
180,B322_0276,CI061
267,B322_0136,CI061
444,B322_0526,DJ088
349,B322_0039,FJ140
174,B322_0270,HR200
59,B322_0653,HR200
48,B322_0475,HR200
159,B322_0228,HL194
195,B322_0560,DD082
264,B322_0558,DD082
419,B322_0259,FA131
440,B322_0381,FA131
355,B322_0708,ER122
136,B322_0229,ER122
88,B322_0478,HC185
320,B322_0070,BS045
244,B322_0505,BS045
291,B322_0087,EY129
19,B322_0461,EY129
39,B322_0326,FU151
129,B322_0255,GR174
343,B322_0013,GR174
446,B322_0557,AA001
494,B322_0619,AA001
208,B322_0516,HN196
518,B322_0624,CK063
239,B322_0285,EX128
465,B322_0437,DG085
468,B322_0544,DG085
480,B322_0571,DG085
310,B322_0020,CS071
157,B322_0226,CS071
522,B322_0454,DM091
457,B322_0543,AR018
400,B322_0181,AR018
243,B322_0528,AQ017
289,B322_0018,AQ017
492,B322_0576,CF058
464,B322_0409,CF058
501,B322_0513,BJ036
293,B322_0178,FN144
273,B322_0165,FN144
138,B322_0261,GY181
219,B322_0524,GY181
346,B322_0163,FO145
130,B322_0236,FO145
113,B322_0657,HP198
383,B322_0119,DU099
509,B322_0716,DU099
251,B322_0585,CQ069
47,B322_0263,DR096
81,B322_0225,DR096
262,B322_0582,FB132
437,B322_0713,FB132
44,B322_0473,FL142
324,B322_0092,FL142
384,B322_0120,AV022
462,B322_0663,AV022
396,B322_0160,GX180
409,B322_0214,GX180
426,B322_0330,GX180
111,B322_0666,EL116
147,B322_0238,EL116
103,B322_0679,EL116
311,B322_0073,CT072
61,B322_0434,CT072
294,B322_0026,AT020
128,B322_0260,AT020
408,B322_0213,GZ182
521,B322_0422,GZ182
245,B322_0517,HA183
334,B322_0078,HA183
339,B322_0032,HA183
322,B322_0021,CE057
121,B322_0649,CE057
149,B322_0242,AZ026
68,B322_0415,AZ026
259,B322_0199,DI087
137,B322_0254,DI087
200,B322_0107,HB184
