givid,id,family
217,B322_0572,DO093
162,B322_0290,CW075
40,B322_0438,CW075
424,B322_0313,BH034
386,B322_0125,BH034
490,B322_0535,ET124
376,B322_0102,ET124
142,B322_0235,HI191
353,B322_0014,DZ104
209,B322_0533,AP016
270,B322_0004,AP016
55,B322_0470,EM117
438,B322_0719,GT176
187,B322_0545,GT176
370,B322_0079,DH086
372,B322_0086,DH086
402,B322_0189,FZ156
395,B322_0159,FZ156
461,B322_0640,FW153
432,B322_0375,FW153
60,B322_0109,CV074
84,B322_0197,CV074
466,B322_0506,EK115
416,B322_0246,EK115
299,B322_0019,CD056
190,B322_0133,CI061
255,B322_0530,CI061
442,B322_0467,DJ088
155,B322_0296,FJ140
271,B322_0151,HR200
82,B322_0646,HR200
49,B322_0677,HR200
300,B322_0064,HL194
195,B322_0560,DD082
166,B322_0299,DD082
392,B322_0149,FA131
495,B322_0645,FA131
7,B322_0449,ER122
234,B322_0143,ER122
173,B322_0269,HC185
215,B322_0282,BS045
202,B322_0006,BS045
160,B322_0292,EY129
340,B322_0029,EY129
39,B322_0326,FU151
32,B322_0468,GR174
246,B322_0121,GR174
504,B322_0581,AA001
510,B322_0421,AA001
228,B322_0590,HN196
387,B322_0134,CK063
123,B322_0205,EX128
493,B322_0596,DG085
468,B322_0544,DG085
523,B322_0499,DG085
310,B322_0020,CS071
90,B322_0413,CS071
362,B322_0042,DM091
457,B322_0543,AR018
445,B322_0542,AR018
106,B322_0662,AQ017
216,B322_0591,AQ017
469,B322_0566,CF058
491,B322_0548,CF058
425,B322_0322,BJ036
134,B322_0258,FN144
284,B322_0175,FN144
56,B322_0500,GY181
109,B322_0693,GY181
130,B322_0236,FO145
35,B322_0420,FO145
175,B322_0271,HP198
383,B322_0119,DU099
516,B322_0584,DU099
8,B322_0460,CQ069
2,B322_0217,DR096
203,B322_0281,DR096
272,B322_0152,FB132
262,B322_0582,FB132
114,B322_0682,FL142
192,B322_0280,FL142
384,B322_0120,AV022
484,B322_0695,AV022
380,B322_0114,GX180
385,B322_0124,GX180
455,B322_0504,GX180
103,B322_0679,EL116
63,B322_0404,EL116
147,B322_0238,EL116
120,B322_0678,CT072
104,B322_0690,CT072
317,B322_0033,AT020
280,B322_0055,AT020
389,B322_0138,GZ182
498,B322_0417,GZ182
278,B322_0094,HA183
131,B322_0252,HA183
245,B322_0517,HA183
107,B322_0694,CE057
172,B322_0268,CE057
23,B322_0425,AZ026
105,B322_0634,AZ026
80,B322_0419,DI087
73,B322_0441,DI087
200,B322_0107,HB184
