givid,id,family
53,B322_0455,GY181
56,B322_0500,GY181
109,B322_0693,GY181
112,B322_0633,GY181
125,B322_0204,GY181
138,B322_0261,GY181
197,B322_0541,GY181
219,B322_0524,GY181
328,B322_0182,GY181
357,B322_0009,DG085
366,B322_0068,DG085
391,B322_0146,DG085
433,B322_0377,DG085
465,B322_0437,DG085
468,B322_0544,DG085
473,B322_0688,DG085
476,B322_0442,DG085
480,B322_0571,DG085
486,B322_0412,DG085
493,B322_0596,DG085
523,B322_0499,DG085
530,B322_0656,DG085
364,B322_0052,DU099
367,B322_0069,DU099
375,B322_0097,DU099
383,B322_0119,DU099
452,B322_0382,DU099
474,B322_0710,DU099
505,B322_0598,DU099
509,B322_0716,DU099
514,B322_0537,DU099
516,B322_0584,DU099
2,B322_0217,DR096
25,B322_0294,DR096
37,B322_0630,DR096
47,B322_0263,DR096
50,B322_0112,DR096
58,B322_0570,DR096
71,B322_0490,DR096
81,B322_0225,DR096
203,B322_0281,DR096
19,B322_0461,EY129
160,B322_0292,EY129
170,B322_0266,EY129
171,B322_0267,EY129
214,B322_0105,EY129
247,B322_0127,EY129
291,B322_0087,EY129
297,B322_0062,EY129
323,B322_0075,EY129
340,B322_0029,EY129
87,B322_0476,HP198
113,B322_0657,HP198
175,B322_0271,HP198
205,B322_0569,HP198
325,B322_0720,HP198
176,B322_0272,CF058
422,B322_0306,CF058
451,B322_0704,CF058
464,B322_0409,CF058
469,B322_0566,CF058
487,B322_0443,CF058
491,B322_0548,CF058
492,B322_0576,CF058
517,B322_0599,CF058
6,B322_0401,DZ104
98,B322_0665,DZ104
153,B322_0245,DZ104
177,B322_0273,DZ104
211,B322_0129,DZ104
353,B322_0014,DZ104
358,B322_0015,GX180
373,B322_0089,GX180
380,B322_0114,GX180
385,B322_0124,GX180
396,B322_0160,GX180
409,B322_0214,GX180
421,B322_0300,GX180
426,B322_0330,GX180
455,B322_0504,GX180
471,B322_0611,GX180
479,B322_0547,GX180
506,B322_0621,GX180
512,B322_0498,GX180
4,B322_0027,FU151
36,B322_0453,FU151
38,B322_0669,FU151
39,B322_0326,FU151
72,B322_0050,FU151
292,B322_0168,FU151
386,B322_0125,BH034
424,B322_0313,BH034
434,B322_0380,BH034
450,B322_0659,BH034
463,B322_0706,BH034
467,B322_0529,BH034
477,B322_0485,BH034
508,B322_0698,BH034
360,B322_0024,AR018
400,B322_0181,AR018
404,B322_0194,AR018
445,B322_0542,AR018
454,B322_0471,AR018
457,B322_0543,AR018
460,B322_0609,AR018
524,B322_0519,AR018
381,B322_0117,BJ036
425,B322_0322,BJ036
459,B322_0589,BJ036
501,B322_0513,BJ036
35,B322_0420,FO145
64,B322_0465,FO145
92,B322_0674,FO145
130,B322_0236,FO145
199,B322_0130,FO145
314,B322_0157,FO145
346,B322_0163,FO145
439,B322_0722,FO145
9,B322_0466,AQ017
106,B322_0662,AQ017
216,B322_0591,AQ017
223,B322_0139,AQ017
243,B322_0528,AQ017
289,B322_0018,AQ017
305,B322_0179,AQ017
306,B322_0034,AQ017
362,B322_0042,DM091
412,B322_0219,DM091
413,B322_0227,DM091
500,B322_0492,DM091
507,B322_0652,DM091
522,B322_0454,DM091
361,B322_0031,CK063
387,B322_0134,CK063
394,B322_0156,CK063
399,B322_0177,CK063
405,B322_0201,CK063
497,B322_0715,CK063
518,B322_0624,CK063
62,B322_0445,BS045
165,B322_0297,BS045
