givid,id,family
379,B322_0111,FA131
392,B322_0149,FA131
417,B322_0248,FA131
419,B322_0259,FA131
420,B322_0278,FA131
430,B322_0343,FA131
440,B322_0381,FA131
443,B322_0502,FA131
495,B322_0645,FA131
77,B322_0469,FN144
134,B322_0258,FN144
186,B322_0568,FN144
218,B322_0574,FN144
240,B322_0583,FN144
241,B322_0561,FN144
273,B322_0165,FN144
284,B322_0175,FN144
290,B322_0057,FN144
293,B322_0178,FN144
315,B322_0170,FN144
8,B322_0460,CQ069
51,B322_0440,CQ069
184,B322_0578,CQ069
185,B322_0573,CQ069
207,B322_0511,CQ069
251,B322_0585,CQ069
354,B322_0053,CQ069
22,B322_0487,DD082
54,B322_0457,DD082
85,B322_0406,DD082
133,B322_0262,DD082
166,B322_0299,DD082
195,B322_0560,DD082
260,B322_0148,DD082
264,B322_0558,DD082
276,B322_0035,DD082
285,B322_0025,DD082
368,B322_0072,DJ088
410,B322_0216,DJ088
415,B322_0244,DJ088
442,B322_0467,DJ088
444,B322_0526,DJ088
520,B322_0700,DJ088
21,B322_0488,EL116
33,B322_0494,EL116
63,B322_0404,EL116
74,B322_0447,EL116
79,B322_0418,EL116
103,B322_0679,EL116
111,B322_0666,EL116
147,B322_0238,EL116
148,B322_0237,EL116
194,B322_0565,EL116
220,B322_0512,EL116
283,B322_0166,EL116
313,B322_0714,EL116
337,B322_0172,EL116
386,B322_0125,BH034
424,B322_0313,BH034
434,B322_0380,BH034
450,B322_0659,BH034
463,B322_0706,BH034
467,B322_0529,BH034
477,B322_0485,BH034
508,B322_0698,BH034
358,B322_0015,GX180
373,B322_0089,GX180
380,B322_0114,GX180
385,B322_0124,GX180
396,B322_0160,GX180
409,B322_0214,GX180
421,B322_0300,GX180
426,B322_0330,GX180
455,B322_0504,GX180
471,B322_0611,GX180
479,B322_0547,GX180
506,B322_0621,GX180
512,B322_0498,GX180
369,B322_0077,FZ156
371,B322_0083,FZ156
395,B322_0159,FZ156
402,B322_0189,FZ156
406,B322_0203,FZ156
448,B322_0608,FZ156
449,B322_0627,FZ156
458,B322_0563,FZ156
525,B322_0539,FZ156
527,B322_0586,FZ156
528,B322_0606,FZ156
365,B322_0060,GZ182
374,B322_0093,GZ182
388,B322_0137,GZ182
389,B322_0138,GZ182
408,B322_0213,GZ182
414,B322_0233,GZ182
427,B322_0337,GZ182
498,B322_0417,GZ182
499,B322_0444,GZ182
502,B322_0536,GZ182
521,B322_0422,GZ182
208,B322_0516,HN196
228,B322_0590,HN196
261,B322_0287,HN196
269,B322_0198,HN196
274,B322_0174,HN196
350,B322_0041,HN196
