givid,id,family
4,B322_0027,FU151
36,B322_0453,FU151
38,B322_0669,FU151
39,B322_0326,FU151
72,B322_0050,FU151
292,B322_0168,FU151
18,B322_0456,GR174
32,B322_0468,GR174
129,B322_0255,GR174
139,B322_0234,GR174
189,B322_0132,GR174
212,B322_0103,GR174
238,B322_0141,GR174
246,B322_0121,GR174
308,B322_0063,GR174
312,B322_0090,GR174
319,B322_0098,GR174
343,B322_0013,GR174
369,B322_0077,FZ156
371,B322_0083,FZ156
395,B322_0159,FZ156
402,B322_0189,FZ156
406,B322_0203,FZ156
448,B322_0608,FZ156
449,B322_0627,FZ156
458,B322_0563,FZ156
525,B322_0539,FZ156
527,B322_0586,FZ156
528,B322_0606,FZ156
381,B322_0117,BJ036
425,B322_0322,BJ036
459,B322_0589,BJ036
501,B322_0513,BJ036
382,B322_0118,FW153
403,B322_0191,FW153
432,B322_0375,FW153
441,B322_0428,FW153
461,B322_0640,FW153
470,B322_0594,FW153
472,B322_0642,FW153
481,B322_0595,FW153
483,B322_0644,FW153
503,B322_0549,FW153
35,B322_0420,FO145
64,B322_0465,FO145
92,B322_0674,FO145
130,B322_0236,FO145
199,B322_0130,FO145
314,B322_0157,FO145
346,B322_0163,FO145
439,B322_0722,FO145
208,B322_0516,HN196
228,B322_0590,HN196
261,B322_0287,HN196
269,B322_0198,HN196
274,B322_0174,HN196
350,B322_0041,HN196
359,B322_0016,ET124
376,B322_0102,ET124
411,B322_0218,ET124
429,B322_0342,ET124
490,B322_0535,ET124
515,B322_0553,ET124
529,B322_0626,ET124
531,B322_0702,ET124
393,B322_0150,EK115
397,B322_0167,EK115
416,B322_0246,EK115
447,B322_0587,EK115
453,B322_0431,EK115
466,B322_0506,EK115
496,B322_0697,EK115
511,B322_0448,EK115
53,B322_0455,GY181
56,B322_0500,GY181
109,B322_0693,GY181
112,B322_0633,GY181
125,B322_0204,GY181
138,B322_0261,GY181
197,B322_0541,GY181
219,B322_0524,GY181
328,B322_0182,GY181
123,B322_0205,EX128
132,B322_0256,EX128
163,B322_0293,EX128
239,B322_0285,EX128
358,B322_0015,GX180
373,B322_0089,GX180
380,B322_0114,GX180
385,B322_0124,GX180
396,B322_0160,GX180
409,B322_0214,GX180
421,B322_0300,GX180
426,B322_0330,GX180
455,B322_0504,GX180
471,B322_0611,GX180
479,B322_0547,GX180
506,B322_0621,GX180
512,B322_0498,GX180
8,B322_0460,CQ069
51,B322_0440,CQ069
184,B322_0578,CQ069
185,B322_0573,CQ069
207,B322_0511,CQ069
251,B322_0585,CQ069
354,B322_0053,CQ069
