givid,id,family
40,B322_0438,CW075
45,B322_0495,CW075
97,B322_0671,CW075
140,B322_0264,CW075
162,B322_0290,CW075
164,B322_0220,CW075
181,B322_0277,CW075
198,B322_0592,CW075
206,B322_0554,CW075
227,B322_0283,CW075
287,B322_0071,CW075
321,B322_0011,CW075
360,B322_0024,AR018
400,B322_0181,AR018
404,B322_0194,AR018
445,B322_0542,AR018
454,B322_0471,AR018
457,B322_0543,AR018
460,B322_0609,AR018
524,B322_0519,AR018
123,B322_0205,EX128
132,B322_0256,EX128
163,B322_0293,EX128
239,B322_0285,EX128
2,B322_0217,DR096
25,B322_0294,DR096
37,B322_0630,DR096
47,B322_0263,DR096
50,B322_0112,DR096
58,B322_0570,DR096
71,B322_0490,DR096
81,B322_0225,DR096
203,B322_0281,DR096
22,B322_0487,DD082
54,B322_0457,DD082
85,B322_0406,DD082
133,B322_0262,DD082
166,B322_0299,DD082
195,B322_0560,DD082
260,B322_0148,DD082
264,B322_0558,DD082
276,B322_0035,DD082
285,B322_0025,DD082
418,B322_0251,AA001
436,B322_0580,AA001
446,B322_0557,AA001
475,B322_0411,AA001
478,B322_0532,AA001
485,B322_0711,AA001
494,B322_0619,AA001
504,B322_0581,AA001
510,B322_0421,AA001
9,B322_0466,AQ017
106,B322_0662,AQ017
216,B322_0591,AQ017
223,B322_0139,AQ017
243,B322_0528,AQ017
289,B322_0018,AQ017
305,B322_0179,AQ017
306,B322_0034,AQ017
5,B322_0531,CV074
13,B322_0142,CV074
14,B322_0628,CV074
15,B322_0430,CV074
24,B322_0403,CV074
26,B322_0664,CV074
60,B322_0109,CV074
70,B322_0463,CV074
83,B322_0048,CV074
84,B322_0197,CV074
316,B322_0180,CV074
336,B322_0162,CV074
11,B322_0432,AP016
17,B322_0436,AP016
30,B322_0402,AP016
41,B322_0451,AP016
145,B322_0240,AP016
209,B322_0533,AP016
270,B322_0004,AP016
295,B322_0037,AP016
8,B322_0460,CQ069
51,B322_0440,CQ069
184,B322_0578,CQ069
185,B322_0573,CQ069
207,B322_0511,CQ069
251,B322_0585,CQ069
354,B322_0053,CQ069
393,B322_0150,EK115
397,B322_0167,EK115
416,B322_0246,EK115
447,B322_0587,EK115
453,B322_0431,EK115
466,B322_0506,EK115
496,B322_0697,EK115
511,B322_0448,EK115
357,B322_0009,DG085
366,B322_0068,DG085
391,B322_0146,DG085
433,B322_0377,DG085
465,B322_0437,DG085
468,B322_0544,DG085
473,B322_0688,DG085
476,B322_0442,DG085
480,B322_0571,DG085
486,B322_0412,DG085
493,B322_0596,DG085
523,B322_0499,DG085
530,B322_0656,DG085
368,B322_0072,DJ088
410,B322_0216,DJ088
415,B322_0244,DJ088
442,B322_0467,DJ088
444,B322_0526,DJ088
520,B322_0700,DJ088
77,B322_0469,FN144
134,B322_0258,FN144
186,B322_0568,FN144
218,B322_0574,FN144
240,B322_0583,FN144
241,B322_0561,FN144
273,B322_0165,FN144
284,B322_0175,FN144
290,B322_0057,FN144
293,B322_0178,FN144
315,B322_0170,FN144
7,B322_0449,ER122
66,B322_0481,ER122
136,B322_0229,ER122
183,B322_0288,ER122
234,B322_0143,ER122
253,B322_0555,ER122
327,B322_0171,ER122
329,B322_0036,ER122
355,B322_0708,ER122
28,B322_0435,DO093
34,B322_0483,DO093
65,B322_0496,DO093
124,B322_0207,DO093
217,B322_0572,DO093
233,B322_0552,DO093
333,B322_0023,DO093
358,B322_0015,GX180
373,B322_0089,GX180
380,B322_0114,GX180
385,B322_0124,GX180
396,B322_0160,GX180
409,B322_0214,GX180
421,B322_0300,GX180
426,B322_0330,GX180
455,B322_0504,GX180
471,B322_0611,GX180
479,B322_0547,GX180
506,B322_0621,GX180
512,B322_0498,GX180
365,B322_0060,GZ182
374,B322_0093,GZ182
388,B322_0137,GZ182
389,B322_0138,GZ182
408,B322_0213,GZ182
414,B322_0233,GZ182
427,B322_0337,GZ182
498,B322_0417,GZ182
499,B322_0444,GZ182
502,B322_0536,GZ182
521,B322_0422,GZ182
21,B322_0488,EL116
33,B322_0494,EL116
63,B322_0404,EL116
74,B322_0447,EL116
79,B322_0418,EL116
103,B322_0679,EL116
111,B322_0666,EL116
147,B322_0238,EL116
148,B322_0237,EL116
194,B322_0565,EL116
220,B322_0512,EL116
283,B322_0166,EL116
313,B322_0714,EL116
337,B322_0172,EL116
108,B322_0650,FJ140
146,B322_0253,FJ140
155,B322_0296,FJ140
168,B322_0212,FJ140
252,B322_0562,FJ140
309,B322_0010,FJ140
349,B322_0039,FJ140
53,B322_0455,GY181
56,B322_0500,GY181
109,B322_0693,GY181
112,B322_0633,GY181
125,B322_0204,GY181
138,B322_0261,GY181
197,B322_0541,GY181
219,B322_0524,GY181
328,B322_0182,GY181
381,B322_0117,BJ036
425,B322_0322,BJ036
459,B322_0589,BJ036
501,B322_0513,BJ036
386,B322_0125,BH034
424,B322_0313,BH034
434,B322_0380,BH034
450,B322_0659,BH034
463,B322_0706,BH034
467,B322_0529,BH034
477,B322_0485,BH034
508,B322_0698,BH034
23,B322_0425,AZ026
68,B322_0415,AZ026
94,B322_0670,AZ026
105,B322_0634,AZ026
149,B322_0242,AZ026
156,B322_0221,AZ026
213,B322_0193,AZ026
236,B322_0108,AZ026
296,B322_0100,AZ026
362,B322_0042,DM091
412,B322_0219,DM091
413,B322_0227,DM091
500,B322_0492,DM091
507,B322_0652,DM091
522,B322_0454,DM091
62,B322_0445,BS045
165,B322_0297,BS045
202,B322_0006,BS045
215,B322_0282,BS045
242,B322_0559,BS045
244,B322_0505,BS045
298,B322_0008,BS045
301,B322_0088,BS045
320,B322_0070,BS045
93,B322_0635,AT020
128,B322_0260,AT020
179,B322_0275,AT020
191,B322_0005,AT020
193,B322_0579,AT020
230,B322_0567,AT020
280,B322_0055,AT020
294,B322_0026,AT020
317,B322_0033,AT020
331,B322_0067,AT020
351,B322_0065,AT020
43,B322_0480,HI191
57,B322_0424,HI191
91,B322_0433,HI191
118,B322_0625,HI191
142,B322_0235,HI191
344,B322_0080,HI191
347,B322_0173,HI191
35,B322_0420,FO145
64,B322_0465,FO145
92,B322_0674,FO145
130,B322_0236,FO145
199,B322_0130,FO145
314,B322_0157,FO145
346,B322_0163,FO145
439,B322_0722,FO145
364,B322_0052,DU099
367,B322_0069,DU099
375,B322_0097,DU099
383,B322_0119,DU099
452,B322_0382,DU099
474,B322_0710,DU099
505,B322_0598,DU099
509,B322_0716,DU099
514,B322_0537,DU099
516,B322_0584,DU099
208,B322_0516,HN196
228,B322_0590,HN196
261,B322_0287,HN196
269,B322_0198,HN196
274,B322_0174,HN196
350,B322_0041,HN196
44,B322_0473,FL142
76,B322_0474,FL142
114,B322_0682,FL142
152,B322_0243,FL142
192,B322_0280,FL142
196,B322_0515,FL142
257,B322_0144,FL142
279,B322_0017,FL142
324,B322_0092,FL142
332,B322_0012,FL142
345,B322_0096,FL142
87,B322_0476,HP198
113,B322_0657,HP198
175,B322_0271,HP198
205,B322_0569,HP198
325,B322_0720,HP198
90,B322_0413,CS071
101,B322_0667,CS071
141,B322_0257,CS071
144,B322_0239,CS071
157,B322_0226,CS071
188,B322_0600,CS071
310,B322_0020,CS071
335,B322_0095,CS071
352,B322_0076,CS071
29,B322_0452,CI061
67,B322_0416,CI061
99,B322_0675,CI061
180,B322_0276,CI061
190,B322_0133,CI061
221,B322_0540,CI061
226,B322_0116,CI061
229,B322_0564,CI061
249,B322_0145,CI061
255,B322_0530,CI061
267,B322_0136,CI061
303,B322_0155,CI061
10,B322_0493,DI087
73,B322_0441,DI087
80,B322_0419,DI087
86,B322_0405,DI087
135,B322_0231,DI087
137,B322_0254,DI087
231,B322_0518,DI087
235,B322_0131,DI087
259,B322_0199,DI087
277,B322_0040,DI087
75,B322_0479,CD056
96,B322_0689,CD056
167,B322_0215,CD056
169,B322_0265,CD056
265,B322_0521,CD056
299,B322_0019,CD056
307,B322_0022,CD056
19,B322_0461,EY129
160,B322_0292,EY129
170,B322_0266,EY129
171,B322_0267,EY129
214,B322_0105,EY129
247,B322_0127,EY129
291,B322_0087,EY129
297,B322_0062,EY129
323,B322_0075,EY129
340,B322_0029,EY129
378,B322_0110,AV022
384,B322_0120,AV022
390,B322_0140,AV022
407,B322_0208,AV022
431,B322_0351,AV022
456,B322_0527,AV022
462,B322_0663,AV022
484,B322_0695,AV022
488,B322_0486,AV022
513,B322_0514,AV022
526,B322_0556,AV022
20,B322_0462,HL194
119,B322_0692,HL194
154,B322_0249,HL194
159,B322_0228,HL194
258,B322_0122,HL194
288,B322_0007,HL194
300,B322_0064,HL194
89,B322_0489,FB132
100,B322_0654,FB132
116,B322_0686,FB132
122,B322_0209,FB132
158,B322_0291,FB132
225,B322_0200,FB132
262,B322_0582,FB132
272,B322_0152,FB132
330,B322_0054,FB132
437,B322_0713,FB132
363,B322_0043,DH086
370,B322_0079,DH086
372,B322_0086,DH086
377,B322_0104,DH086
398,B322_0176,DH086
401,B322_0186,DH086
423,B322_0309,DH086
428,B322_0338,DH086
435,B322_0383,DH086
482,B322_0614,DH086
489,B322_0509,DH086
519,B322_0655,DH086
