givid,id,family
21,B322_0488,EL116
33,B322_0494,EL116
63,B322_0404,EL116
74,B322_0447,EL116
79,B322_0418,EL116
103,B322_0679,EL116
111,B322_0666,EL116
147,B322_0238,EL116
148,B322_0237,EL116
194,B322_0565,EL116
220,B322_0512,EL116
283,B322_0166,EL116
313,B322_0714,EL116
337,B322_0172,EL116
40,B322_0438,CW075
45,B322_0495,CW075
97,B322_0671,CW075
140,B322_0264,CW075
162,B322_0290,CW075
164,B322_0220,CW075
181,B322_0277,CW075
198,B322_0592,CW075
206,B322_0554,CW075
227,B322_0283,CW075
287,B322_0071,CW075
321,B322_0011,CW075
42,B322_0450,HA183
46,B322_0429,HA183
102,B322_0658,HA183
110,B322_0629,HA183
131,B322_0252,HA183
237,B322_0001,HA183
245,B322_0517,HA183
263,B322_0575,HA183
278,B322_0094,HA183
304,B322_0169,HA183
334,B322_0078,HA183
339,B322_0032,HA183
341,B322_0051,HA183
29,B322_0452,CI061
67,B322_0416,CI061
99,B322_0675,CI061
180,B322_0276,CI061
190,B322_0133,CI061
221,B322_0540,CI061
226,B322_0116,CI061
229,B322_0564,CI061
249,B322_0145,CI061
255,B322_0530,CI061
267,B322_0136,CI061
303,B322_0155,CI061
176,B322_0272,CF058
422,B322_0306,CF058
451,B322_0704,CF058
464,B322_0409,CF058
469,B322_0566,CF058
487,B322_0443,CF058
491,B322_0548,CF058
492,B322_0576,CF058
517,B322_0599,CF058
1,B322_0370,HR200
3,B322_0497,HR200
12,B322_0446,HR200
16,B322_0551,HR200
27,B322_0410,HR200
48,B322_0475,HR200
49,B322_0677,HR200
59,B322_0653,HR200
69,B322_0295,HR200
82,B322_0646,HR200
174,B322_0270,HR200
271,B322_0151,HR200
281,B322_0082,HR200
89,B322_0489,FB132
100,B322_0654,FB132
116,B322_0686,FB132
122,B322_0209,FB132
158,B322_0291,FB132
225,B322_0200,FB132
262,B322_0582,FB132
272,B322_0152,FB132
330,B322_0054,FB132
437,B322_0713,FB132
93,B322_0635,AT020
128,B322_0260,AT020
179,B322_0275,AT020
191,B322_0005,AT020
193,B322_0579,AT020
230,B322_0567,AT020
280,B322_0055,AT020
294,B322_0026,AT020
317,B322_0033,AT020
331,B322_0067,AT020
351,B322_0065,AT020
53,B322_0455,GY181
56,B322_0500,GY181
109,B322_0693,GY181
