givid,id,family
363,B322_0043,DH086
370,B322_0079,DH086
372,B322_0086,DH086
377,B322_0104,DH086
398,B322_0176,DH086
401,B322_0186,DH086
423,B322_0309,DH086
428,B322_0338,DH086
435,B322_0383,DH086
482,B322_0614,DH086
489,B322_0509,DH086
519,B322_0655,DH086
90,B322_0413,CS071
101,B322_0667,CS071
141,B322_0257,CS071
144,B322_0239,CS071
157,B322_0226,CS071
188,B322_0600,CS071
310,B322_0020,CS071
335,B322_0095,CS071
352,B322_0076,CS071
43,B322_0480,HI191
57,B322_0424,HI191
91,B322_0433,HI191
118,B322_0625,HI191
142,B322_0235,HI191
344,B322_0080,HI191
347,B322_0173,HI191
9,B322_0466,AQ017
106,B322_0662,AQ017
216,B322_0591,AQ017
223,B322_0139,AQ017
243,B322_0528,AQ017
289,B322_0018,AQ017
305,B322_0179,AQ017
306,B322_0034,AQ017
87,B322_0476,HP198
113,B322_0657,HP198
175,B322_0271,HP198
205,B322_0569,HP198
325,B322_0720,HP198
8,B322_0460,CQ069
51,B322_0440,CQ069
184,B322_0578,CQ069
185,B322_0573,CQ069
207,B322_0511,CQ069
251,B322_0585,CQ069
354,B322_0053,CQ069
365,B322_0060,GZ182
374,B322_0093,GZ182
388,B322_0137,GZ182
389,B322_0138,GZ182
408,B322_0213,GZ182
414,B322_0233,GZ182
427,B322_0337,GZ182
498,B322_0417,GZ182
499,B322_0444,GZ182
502,B322_0536,GZ182
521,B322_0422,GZ182
89,B322_0489,FB132
100,B322_0654,FB132
116,B322_0686,FB132
122,B322_0209,FB132
158,B322_0291,FB132
225,B322_0200,FB132
262,B322_0582,FB132
272,B322_0152,FB132
330,B322_0054,FB132
437,B322_0713,FB132
364,B322_0052,DU099
367,B322_0069,DU099
375,B322_0097,DU099
383,B322_0119,DU099
452,B322_0382,DU099
474,B322_0710,DU099
505,B322_0598,DU099
509,B322_0716,DU099
514,B322_0537,DU099
516,B322_0584,DU099
77,B322_0469,FN144
134,B322_0258,FN144
186,B322_0568,FN144
218,B322_0574,FN144
240,B322_0583,FN144
241,B322_0561,FN144
273,B322_0165,FN144
284,B322_0175,FN144
290,B322_0057,FN144
293,B322_0178,FN144
315,B322_0170,FN144
10,B322_0493,DI087
73,B322_0441,DI087
80,B322_0419,DI087
86,B322_0405,DI087
135,B322_0231,DI087
137,B322_0254,DI087
231,B322_0518,DI087
235,B322_0131,DI087
259,B322_0199,DI087
277,B322_0040,DI087
4,B322_0027,FU151
36,B322_0453,FU151
38,B322_0669,FU151
39,B322_0326,FU151
72,B322_0050,FU151
292,B322_0168,FU151
